title,region,company,category
Remote Delphi Software Engineer,Jawa Barat,PT Tetra Indo Teknologi,software-engineer
Software Engineer,Jakarta Raya,PT. Wide Technologies Indonesia,software-engineer
Outsystem Developer (Junior & Middle),Jakarta Raya,PT.JAGOGO ANALISA GEMILANG,software-engineer
RnD Senior Software Engineer,"Bandung, Salatiga, Semarang",PT Formulatrix Indonesia,software-engineer
.Net Developer,Jakarta Pusat,Agung Logistics,software-engineer
Programmer,Sidoarjo,PT Surya Optima Nusa Raya,software-engineer
Software Engineer,Jakarta Pusat,FKS Group,software-engineer
Software Engineer,Batam,PT. Pegatron Technology Indonesia (Batam),software-engineer
Jr. Software Engineer,Batam,AVENSYS CONSULTING INC.,software-engineer
Internet of Things (IoT) / Software Engineer Internship,"Jakarta Pusat, Cikarang",PT KALBE FARMA (CORPORATE),software-engineer
IT Software Engineer & Programmer Staff,Surabaya,AVIAN GROUP,software-engineer
Senior Software Engineer,Tangerang,Passion Jewelry,software-engineer
IT Software Test Engineer,Jakarta Raya,PT Avows Technologies,software-engineer
Software Java Developer,"Jakarta Selatan, Depok",PT Drose Konsultasi Indonesia,software-engineer
Software Engineer (Oracle),Jakarta Selatan,PT Asuransi Allianz Life Indonesia,software-engineer
Back End Developer,Jakarta Selatan,PT Data Impian Bangsa,software-engineer
IT software engineer,Tangerang,Sekolah Dian Harapan Head Office,software-engineer
Software Developer,Jakarta Timur,"PT Indomobil Sukses Internasional, Tbk",software-engineer
SOFTWARE DEVELOPER,Bandung,PT Hospi Niaga Utama,software-engineer
IT Engineer Integration (API Gateway),Jakarta Selatan,PT IT Group Indonesia,software-engineer
IT Software Engineer,Jakarta Pusat,PT Monotaro Indonesia,software-engineer
Programmer,Jakarta Selatan,PT Inti Data Utama,software-engineer
Trainee - Backend Developer,Jakarta Selatan,PT Phincon,software-engineer
IT Backend,Jakarta Timur,PT Swapro International,software-engineer
Backend Engineer,Jakarta Raya,IDEKU.ID,software-engineer
BACKEND ENGINEER,Yogyakarta,PT Mindo Small Business Solution,software-engineer
Java Developer,Jakarta Raya,PT CITTA PARAMA GUNA,software-engineer
BackEnd Developer,Jawa Barat,PT. Topindo Solusi Komunika,software-engineer
SENIOR GoLang Dev,Jakarta Barat,PT. ALPHA INDO SOFT,software-engineer
Java Developer,Jakarta Raya,Geekhunter,software-engineer
Data Scientist,"Jakarta Selatan, Tangerang",PT Teknologi Pamadya Analitika,data-scientist
Data Scientist,Jakarta Selatan,PT Home Credit Indonesia,data-scientist
Marketing Data Analyst Staff,Bandung,PT Richeese Kuliner Indonesia,data-scientist
Junior Data Engineer,"Banjarnegara, Yogyakarta",ASIA RESEARCH INSTITUTE,data-scientist
DATA ANALYST,"Jakarta Raya, Serang",PT. CJ FEED AND CARE INDONESIA (Head Office),data-scientist
Data Engineer,Jakarta Raya,PT Graha Karya Informasi,data-scientist
AWS Data Engineer,Jakarta Raya,Arbeit Infotech,data-scientist
AI Engineer,Jakarta Selatan,PT Artha Telekomindo,data-scientist
Data Engineer,Jakarta Pusat,PT Data Labs Analytics,data-scientist
Data Analyst (Corporate),Bogor,PT Mega Niaga Sejahtera,data-scientist
Senior Data Scientist,Tangerang,"PT. BFI FINANCE INDONESIA, Tbk",data-scientist
Software Architect Data Pipeline,Tangerang,PT Sigmantara Alfindo,data-scientist
STAFF DATA ANALYST,Jakarta Raya,"PT Satria Antaran Prima,Tbk",data-scientist
Data Analyst,Jakarta Raya,PT. Multimedia Lestari Sukses,data-scientist
Data Engineer,Surabaya,PT Mitra Informatika,data-scientist
Expert Data Scientist,Jawa Barat,PT. NUON DIGITAL INDONESIA,data-scientist
Business Data Analyst,Jakarta Pusat,PT. Topindo Atlas Asia (Oil TOP1),data-scientist
Corporate Data Scientist Department Head,Jakarta Utara,"PT Wahana Ottomitra Multiartha (WOM Finance), Tbk",data-scientist
Specialist Data Science,Jakarta Selatan,PT Cipta Kridatama,data-scientist
Statistic Data Analyst,Jakarta Selatan,PT Metrox Global,data-scientist
Data Analyst Sales,Surabaya,PT Pabrik Kertas Indonesia,data-scientist
Staf Data Analyst,Sidoarjo,PT Sentralsari Primasentosa,data-scientist
PDCA Data Analyst,Jakarta Selatan,PT Cyberindo Aditama (CBN),data-scientist
IT Data Demand Management (BA & PM Data),Jakarta Pusat,PT Simian Technologies,data-scientist
Research Data Development,Jakarta Raya,Karunia Prima Nastari (KPN CORP.),data-scientist
DATA ANALYST,Medan,PT Socfin Indonesia,data-scientist
Data Engineer (Banking Solution),Jakarta Pusat,PT Simian Technologies,data-scientist
Asisten GIS,Nunukan,FAP Agri Group,data-scientist
Data Engineer,Jakarta Raya,PT I D X Partners,data-scientist
IT Internship - Data Scientist,Jakarta Timur,PT Bintang Toedjoe,data-scientist
Loyalty Developer Program (UI/UX),Jakarta Selatan,PT Elite Prima Hutama,ui-ux-design
Senior UI/UX Designer,Jakarta Raya,Visi Prima Nusantara,ui-ux-design
UI/UX DEVELOPER - INTERNSHIP,Jakarta Barat,Sekolah Kristen IPEKA,ui-ux-design
Senior UI/UX Designer,Jakarta Raya,SOECHI GROUP,ui-ux-design
UI UX DEVELOPER,Jakarta Selatan,PT LinkIT360,ui-ux-design
UI/UX Specialist,Tangerang,PT Lippo General Insurance Tbk,ui-ux-design
UI/UX Designer,Jakarta Selatan,PT MLP Indonesia Trading,ui-ux-design
UI/UX Designer,Jakarta Barat,PT Bhakti Idola Tama,ui-ux-design
PRODUCT DESIGNER,Tangerang,PT. Pilar Niaga Makmur,ui-ux-design
UI/UX & Graphic Designer Internship,Jakarta Pusat,PT KALBE FARMA (CORPORATE),ui-ux-design
UI/UX Designer,Jakarta Raya,PT. Procon Indo Sekata,ui-ux-design
Product Designer,Semarang,PT. Jumpwin Sports Indonesia,ui-ux-design
